FileName,SKU,Scale_1,Scale_2,Scale_3,Scale_4
PATTERN_99.jpg,0416,25,50,75,100
HAND_DRAWN_PATTERN#2_13.jpg,0417,30,70,100,150
VERY_FRIENDLY_PATTERN_9.jpg,0418,15,30,45,70
WONDERLAND_PATTERN_12.jpg,0419,25,50,75,100
BLOOMING_PATTERN_9.jpg,0420,15,30,45,70
SAFARI_PATTERN_8.jpg,0421,25,50,75,100
PATTERN_376.jpg,0422,15,30,45,70
PEONIES_PATTERNS_1.jpg,0423,30,70,100,150
Chevron8.jpg,0424,30,70,100,150
seamless mermaid papers_0007_x.jpg,0425,30,70,100,150
WEDDING_PATTERN_4.jpg,0426,30,70,100,150
PATTERN_368.jpg,0427,15,30,45,70
PATTERN_93.jpg,0428,25,50,75,100
WEDDING_PATTERN_10.jpg,0429,30,70,100,150
UNIVERSAL_PATTERN#2_8.jpg,0430,15,30,45,70
ARTISTIC_PATTERN_3.jpg,0431,15,30,45,70
seamless mermaid papers_0000_x.jpg,0432,30,70,100,150
CUPCAKE_PATTERN_6.jpg,0433,30,70,100,150
PATTERN_503.jpg,0434,15,30,45,70
PEONIES_PATTERNS_6.jpg,0435,25,50,75,100
PORTRAIT_PATTERN_75.jpg,0436,15,30,45,70
PORTRAIT_PATTERN_72.jpg,0437,15,30,45,70
PATTERN_84.jpg,0438,15,30,45,70
PATTERN_85.jpg,0439,15,30,45,70
SAFARI_PATTERN_9.jpg,0440,25,50,75,100
NORTHERN_WINTER_PATTERN_10.jpg,0441,25,50,75,100
PATTERN_364.jpg,0442,15,30,45,70
UNIVERSAL_PATTERN#2_33.jpg,0443,15,30,45,70
MML-donuts-02.jpg,0444,30,70,100,150
LINES_PATTERN_19.jpg,0445,25,50,75,100
PORTRAIT_PATTERN_55.jpg,0446,15,30,45,70
PORTRAIT_PATTERN_28.jpg,0447,15,30,45,70
flamingo digital paper pack-06.jpg,0448,30,70,100,150
WATERCOLOR_TEXTURE_12.jpg,0449,15,30,45,70
PATTERN_75.jpg,0450,15,30,45,70
COLOR_PATTERN_2.jpg,0451,15,30,45,70
PATTERN_146.jpg,0452,25,50,75,100
PEONIES_PATTERNS_5.jpg,0453,15,30,45,70
WINTER_PATTERN#1_7.jpg,0454,15,30,45,70
WINTER_PATTERN#1_8.jpg,0455,15,30,45,70
WINTER_PATTERN#1_19.jpg,0456,15,30,45,70
WINTER_PATTERN#2_10.jpg,0457,15,30,45,70
Rainbow Glitter Paper 24.jpg,0458,25,50,75,100
WONDERLAND_PATTERN_25.jpg,0459,15,30,45,70
PATTERN_543.jpg,0460,15,30,45,70
UNIVERSAL_PATTERN#2_48.jpg,0461,15,30,45,70
PATTERN_550.jpg,0462,15,30,45,70
PATTERN_405.jpg,0463,30,70,100,150
cheetah_0008_9.jpg,0464,75,100,125,150
WATERCOLOR_TEXTURE_20.jpg,0465,15,30,45,70
UNIVERSAL_PATTERN#2_37.jpg,0466,25,50,75,100
purple tile.jpg,0467,30,70,100,150
PORTRAIT_PATTERN_58.jpg,0468,15,30,45,70
PATTERN_426.jpg,0469,15,30,45,70
PATTERN_403.jpg,0470,30,70,100,150
UNIVERSAL_PATTERN#2_36.jpg,0471,25,50,75,100
UNIVERSAL_PATTERN#2_41.jpg,0472,15,30,45,70
UNIVERSAL_PATTERN#2_22.jpg,0473,15,30,45,70
seamless mermaid papers_0005_x.jpg,0474,30,70,100,150
seamless mermaid papers_0003_x.jpg,0475,30,70,100,150
PATTERN_372.jpg,0476,15,30,45,70
